ES-HyperNEAT,1,160,3.985904,0.733633,1.000000
ES-HyperNEAT,2,320,4.025242,3.297756,1.012500
ES-HyperNEAT,3,480,4.249503,3.045336,1.068750
ES-HyperNEAT,4,640,6.408950,3.046489,1.131250
ES-HyperNEAT,5,800,8.230188,3.552546,1.306250
ES-HyperNEAT,6,960,5.865443,3.164234,1.662500
ES-HyperNEAT,7,1,120,6.935663,3.520406,1.443750
ES-HyperNEAT,8,1,280,6.426416,4.099590,1.943750
ES-HyperNEAT,9,1,440,6.382616,4.374802,2.100000
ES-HyperNEAT,10,1,600,6.457817,4.324838,2.143750
ES-HyperNEAT,11,1,760,6.437490,4.044039,2.043750
ES-HyperNEAT,12,1,920,7.511551,4.371627,2.262500
ES-HyperNEAT,13,2,080,6.826689,4.257647,2.281250
ES-HyperNEAT,14,2,240,6.253211,4.025034,2.300000
ES-HyperNEAT,15,2,400,6.114356,4.208978,2.306250
ES-HyperNEAT,16,2,560,6.322172,4.171376,2.243750
ES-HyperNEAT,17,2,720,6.183515,4.432010,2.481250
ES-HyperNEAT,18,2,880,7.807013,4.621290,2.537500
ES-HyperNEAT,19,3,040,6.188376,3.976775,2.506250
ES-HyperNEAT,20,3,200,6.447426,4.425790,2.762500
ES-HyperNEAT,21,3,360,6.156655,4.066320,3.106250
ES-HyperNEAT,22,3,520,6.664398,4.495421,3.068750
ES-HyperNEAT,23,3,680,6.702094,4.735663,2.975000
ES-HyperNEAT,24,3,840,6.364930,4.262220,3.131250
ES-HyperNEAT,25,4,000,6.539531,4.634564,3.281250
ES-HyperNEAT,26,4,160,6.225002,4.375966,2.825000
ES-HyperNEAT,27,4,320,7.090439,4.559727,3.081250
ES-HyperNEAT,28,4,480,6.295604,4.117826,3.143750
ES-HyperNEAT,29,4,640,6.233721,4.582019,3.256250
ES-HyperNEAT,30,4,800,6.171882,4.658634,3.881250
ES-HyperNEAT,31,4,960,6.666682,4.736885,4.006250
ES-HyperNEAT,32,5,120,6.527133,4.749641,3.925000
ES-HyperNEAT,33,5,280,6.256848,4.987669,4.268750
ES-HyperNEAT,34,5,440,6.282742,5.105899,4.487500
ES-HyperNEAT,35,5,600,6.135443,4.472262,4.612500
ES-HyperNEAT,36,5,760,6.241797,4.701243,4.487500
ES-HyperNEAT,37,5,920,6.083955,4.698906,4.712500
ES-HyperNEAT,38,6,080,6.384124,5.040735,4.818750
ES-HyperNEAT,39,6,240,6.356874,5.009867,4.956250
ES-HyperNEAT,40,6,400,6.448925,4.970392,5.012500
ES-HyperNEAT,41,6,560,6.287567,4.950683,5.075000
ES-HyperNEAT,42,6,720,6.603371,4.821389,5.018750
ES-HyperNEAT,43,6,880,6.596383,4.835428,5.012500
ES-HyperNEAT,44,7,040,6.355805,5.043830,5.018750
ES-HyperNEAT,45,7,200,6.226489,4.941964,5.062500
ES-HyperNEAT,46,7,360,6.703505,5.215624,5.006250
ES-HyperNEAT,47,7,520,6.151044,5.045979,5.000000
ES-HyperNEAT,48,7,680,6.083185,4.994163,5.337500
ES-HyperNEAT,49,7,840,6.138646,4.863623,5.700000
ES-HyperNEAT,50,8,000,6.262778,5.081289,5.750000
ES-HyperNEAT,51,8,160,6.100285,4.952550,5.706250
ES-HyperNEAT,52,8,320,6.257627,5.132577,5.618750
ES-HyperNEAT,53,8,480,6.465612,5.169412,5.875000
ES-HyperNEAT,54,8,640,6.295895,4.978461,5.968750
ES-HyperNEAT,55,8,800,6.142562,5.160192,6.006250
ES-HyperNEAT,56,8,960,6.078394,4.930491,6.018750
ES-HyperNEAT,57,9,120,6.262328,5.147656,6.068750
ES-HyperNEAT,58,9,280,6.067496,5.234492,6.075000
ES-HyperNEAT,59,9,440,6.466502,4.836135,6.006250
ES-HyperNEAT,60,9,600,6.368058,5.016569,6.006250
ES-HyperNEAT,61,9,760,6.439441,5.186310,6.006250
ES-HyperNEAT,62,9,920,6.231292,5.100188,6.025000
ES-HyperNEAT,63,10,080,6.427264,5.142844,6.056250
ES-HyperNEAT,64,10,240,6.368975,5.177371,6.050000
ES-HyperNEAT,65,10,400,6.460625,5.233441,6.075000
ES-HyperNEAT,66,10,560,6.515859,5.274484,6.125000
ES-HyperNEAT,67,10,720,6.498643,5.539598,6.000000
ES-HyperNEAT,68,10,880,6.488624,5.274878,6.043750
ES-HyperNEAT,69,11,040,6.733749,5.051076,6.006250
ES-HyperNEAT,70,11,200,6.123263,4.476500,6.012500
ES-HyperNEAT,71,11,360,6.466589,4.933172,6.018750
ES-HyperNEAT,72,11,520,6.385082,5.118105,6.025000
ES-HyperNEAT,73,11,680,6.339408,4.905572,6.062500
ES-HyperNEAT,74,11,840,6.058557,4.720294,6.137500
ES-HyperNEAT,75,12,000,6.364441,5.252191,6.050000
ES-HyperNEAT,76,12,160,6.457169,5.197985,6.018750
ES-HyperNEAT,77,12,320,6.413655,5.185814,6.062500
ES-HyperNEAT,78,12,480,6.515056,4.933426,6.050000
ES-HyperNEAT,79,12,640,6.457946,4.993526,6.043750
ES-HyperNEAT,80,12,800,6.483576,5.464650,6.075000
ES-HyperNEAT,81,12,960,6.145928,5.045601,6.125000
