ES-HyperNEAT,1,160,3.462213,0.680519,1.000000
ES-HyperNEAT,2,320,3.982718,3.260246,1.031250
ES-HyperNEAT,3,480,3.852746,3.256591,1.162500
ES-HyperNEAT,4,640,4.008530,3.162260,1.062500
ES-HyperNEAT,5,800,4.164004,3.112847,1.312500
ES-HyperNEAT,6,960,4.206103,3.321420,1.631250
ES-HyperNEAT,7,1,120,5.082029,3.549759,1.450000
ES-HyperNEAT,8,1,280,5.133939,3.515259,1.843750
ES-HyperNEAT,9,1,440,5.121263,3.491924,2.006250
ES-HyperNEAT,10,1,600,5.046532,3.487428,2.050000
ES-HyperNEAT,11,1,760,9.365365,3.508102,2.056250
ES-HyperNEAT,12,1,920,5.168237,3.510404,2.062500
ES-HyperNEAT,13,2,080,7.962750,3.826771,2.062500
ES-HyperNEAT,14,2,240,5.229656,3.548493,2.087500
ES-HyperNEAT,15,2,400,5.129500,3.761354,2.093750
ES-HyperNEAT,16,2,560,8.160126,3.591102,2.056250
ES-HyperNEAT,17,2,720,6.358162,3.797501,2.081250
ES-HyperNEAT,18,2,880,5.019596,3.706664,2.206250
ES-HyperNEAT,19,3,040,5.390245,3.810540,2.325000
ES-HyperNEAT,20,3,200,5.231830,3.625926,2.618750
ES-HyperNEAT,21,3,360,6.116616,3.817706,2.787500
ES-HyperNEAT,22,3,520,9.906802,3.816828,2.643750
ES-HyperNEAT,23,3,680,5.593746,3.798497,2.718750
ES-HyperNEAT,24,3,840,5.422497,4.037114,2.681250
ES-HyperNEAT,25,4,000,7.660320,3.737556,2.775000
ES-HyperNEAT,26,4,160,5.497142,3.881334,2.737500
ES-HyperNEAT,27,4,320,5.391142,3.634735,2.893750
ES-HyperNEAT,28,4,480,7.715649,4.164559,2.862500
ES-HyperNEAT,29,4,640,7.094111,3.907783,3.206250
ES-HyperNEAT,30,4,800,16.668332,4.955475,2.981250
ES-HyperNEAT,31,4,960,4.486281,3.686084,2.943750
ES-HyperNEAT,32,5,120,5.699161,3.915905,2.881250
ES-HyperNEAT,33,5,280,8.471230,3.942283,2.862500
ES-HyperNEAT,34,5,440,5.073136,3.991060,2.956250
ES-HyperNEAT,35,5,600,5.655606,3.986854,3.006250
ES-HyperNEAT,36,5,760,5.560290,3.854239,3.006250
ES-HyperNEAT,37,5,920,14.462338,4.167109,3.025000
ES-HyperNEAT,38,6,080,14.464097,4.023842,3.012500
ES-HyperNEAT,39,6,240,5.233811,4.101571,3.018750
ES-HyperNEAT,40,6,400,5.076421,3.899601,3.062500
ES-HyperNEAT,41,6,560,7.136742,4.156310,3.012500
ES-HyperNEAT,42,6,720,5.036718,4.057146,3.056250
