ES-HyperNEAT,1,160,8.237696,0.763381,1.000000
ES-HyperNEAT,2,320,7.852752,4.840628,1.012500
ES-HyperNEAT,3,480,7.566718,6.578965,1.025000
ES-HyperNEAT,4,640,8.703989,8.367248,1.012500
ES-HyperNEAT,5,800,8.655725,8.184431,1.012500
ES-HyperNEAT,6,960,7.674402,7.500908,1.081250
ES-HyperNEAT,7,1,120,8.658770,8.246884,1.156250
ES-HyperNEAT,8,1,280,8.039333,7.709563,1.162500
ES-HyperNEAT,9,1,440,7.537708,7.267451,1.212500
ES-HyperNEAT,10,1,600,8.678241,8.325207,1.181250
ES-HyperNEAT,11,1,760,8.707152,8.526585,1.293750
ES-HyperNEAT,12,1,920,8.022096,7.737924,1.350000
ES-HyperNEAT,13,2,080,8.317713,8.100323,1.281250
ES-HyperNEAT,14,2,240,8.683509,8.399831,1.231250
ES-HyperNEAT,15,2,400,8.745342,8.603821,1.462500
ES-HyperNEAT,16,2,560,8.642681,8.288850,1.412500
ES-HyperNEAT,17,2,720,8.670341,8.240320,1.393750
ES-HyperNEAT,18,2,880,8.710113,8.258808,1.393750
ES-HyperNEAT,19,3,040,8.657460,7.985536,1.456250
ES-HyperNEAT,20,3,200,8.760002,8.551232,1.468750
ES-HyperNEAT,21,3,360,8.323935,7.939998,1.631250
ES-HyperNEAT,22,3,520,7.545635,7.393742,1.700000
ES-HyperNEAT,23,3,680,8.715681,8.566222,1.812500
ES-HyperNEAT,24,3,840,8.771534,8.505436,1.812500
ES-HyperNEAT,25,4,000,8.837819,8.575946,1.793750
ES-HyperNEAT,26,4,160,8.738359,8.562343,1.856250
ES-HyperNEAT,27,4,320,8.006798,7.879248,1.812500
ES-HyperNEAT,28,4,480,8.704919,8.465486,1.800000
ES-HyperNEAT,29,4,640,8.819578,8.587713,1.900000
ES-HyperNEAT,30,4,800,8.287450,7.759809,2.012500
ES-HyperNEAT,31,4,960,8.759262,8.486876,2.006250
ES-HyperNEAT,32,5,120,8.398330,8.232078,2.006250
ES-HyperNEAT,33,5,280,8.693541,8.265014,2.037500
ES-HyperNEAT,34,5,440,8.691079,8.356801,2.018750
ES-HyperNEAT,35,5,600,8.691685,8.264143,2.018750
ES-HyperNEAT,36,5,760,8.761177,8.469597,2.056250
ES-HyperNEAT,37,5,920,8.403703,8.068268,2.050000
ES-HyperNEAT,38,6,080,7.712713,7.562918,2.081250
ES-HyperNEAT,39,6,240,8.687599,8.482466,2.118750
ES-HyperNEAT,40,6,400,8.714224,8.445159,2.106250
ES-HyperNEAT,41,6,560,7.769572,7.658291,2.112500
ES-HyperNEAT,42,6,720,7.422638,7.259351,2.150000
ES-HyperNEAT,43,6,880,6.779345,6.688334,2.162500
ES-HyperNEAT,44,7,040,7.633140,7.532715,2.293750
ES-HyperNEAT,45,7,200,8.376053,8.239327,2.156250
ES-HyperNEAT,46,7,360,8.340299,8.010824,2.150000
ES-HyperNEAT,47,7,520,8.696257,8.433632,2.106250
ES-HyperNEAT,48,7,680,7.972534,7.893180,2.100000
ES-HyperNEAT,49,7,840,7.619245,7.487045,2.262500
ES-HyperNEAT,50,8,000,8.659818,8.246815,2.112500
ES-HyperNEAT,51,8,160,8.780970,8.413827,2.118750
ES-HyperNEAT,52,8,320,7.329824,7.169540,2.100000
ES-HyperNEAT,53,8,480,7.898645,7.567558,2.081250
ES-HyperNEAT,54,8,640,7.258743,7.089603,2.068750
ES-HyperNEAT,55,8,800,8.730887,8.497624,2.025000
ES-HyperNEAT,56,8,960,14.138031,7.216167,2.012500
ES-HyperNEAT,57,9,120,7.148599,6.551007,2.018750
ES-HyperNEAT,58,9,280,8.741680,8.569720,2.018750
ES-HyperNEAT,59,9,440,7.183815,7.051262,2.056250
