ES-HyperNEAT,92,14720,4.061796,3.915061,5.4375
ES-HyperNEAT,93,14880,4.134093,4.01159,5.0625
ES-HyperNEAT,94,15040,4.004721,3.904895,5.1
ES-HyperNEAT,95,15200,4.017024,3.942209,5.11875
ES-HyperNEAT,96,15360,4.192533,4.046717,5.16875
ES-HyperNEAT,97,15520,4.071961,3.982462,5.2625
ES-HyperNEAT,98,15680,4.023338,3.955216,5.325
ES-HyperNEAT,99,15840,4.032368,3.959667,5.2
ES-HyperNEAT,100,16000,4.111112,3.903458,5.01875
ES-HyperNEAT,101,16160,4.14294,4.003411,5.00625
ES-HyperNEAT,102,16320,4.006911,3.906016,5.0125
ES-HyperNEAT,103,16480,4.089584,3.917775,5.00625
ES-HyperNEAT,104,16640,4.010947,3.93793,5.01875
ES-HyperNEAT,105,16800,4.107844,3.953076,5.0125
ES-HyperNEAT,106,16960,4.010811,3.865401,5.00625
ES-HyperNEAT,107,17120,4.036013,3.951178,5.0125
ES-HyperNEAT,108,17280,4.008581,3.900078,5.01875
ES-HyperNEAT,109,17440,4.033902,3.946254,5.01875
ES-HyperNEAT,110,17600,4.100935,3.979885,5.01875
ES-HyperNEAT,111,17760,4.023152,3.966519,5
ES-HyperNEAT,112,17920,4.049803,3.941628,5.01875
ES-HyperNEAT,113,18080,4.167148,4.045238,5.00625
ES-HyperNEAT,114,18240,4.09671,3.977323,5.01875
ES-HyperNEAT,115,18400,4.021158,3.918505,5
ES-HyperNEAT,116,18560,4.009665,3.927454,5.01875
ES-HyperNEAT,117,18720,4.136511,3.945164,5.00625
ES-HyperNEAT,118,18880,4.067645,3.994346,5.05
ES-HyperNEAT,119,19040,4.029161,3.969652,5
ES-HyperNEAT,120,19200,4.045005,3.954722,5.01875
ES-HyperNEAT,121,19360,4.025477,3.913353,5.075
ES-HyperNEAT,122,19520,4.126621,4.016626,5.0625
ES-HyperNEAT,123,19680,4.037254,3.929646,5.01875
ES-HyperNEAT,124,19840,4.077415,3.942235,5.10625
ES-HyperNEAT,125,20000,4.079001,3.949603,5.1625
ES-HyperNEAT,126,20160,4.10788,4.004151,5.1125
ES-HyperNEAT,127,20320,4.099879,3.960684,5.01875
ES-HyperNEAT,128,20480,4.021574,3.932637,5.06875
ES-HyperNEAT,129,20640,4.021007,3.965213,5
ES-HyperNEAT,130,20800,4.135132,3.930264,5.0125
ES-HyperNEAT,131,20960,4.052161,3.964003,5.01875
ES-HyperNEAT,132,21120,4.080964,3.98156,5.025
ES-HyperNEAT,133,21280,4.054792,3.973071,5.05
ES-HyperNEAT,134,21440,4.043679,3.953047,5.0125
ES-HyperNEAT,135,21600,4.108914,3.945067,5.01875
ES-HyperNEAT,136,21760,4.094364,3.93905,5.0125
ES-HyperNEAT,137,21920,4.119985,4.013342,5.00625
ES-HyperNEAT,138,22080,4.015638,3.93997,5.0125
ES-HyperNEAT,139,22240,4.019646,3.941618,5.0125
ES-HyperNEAT,140,22400,4.128358,3.95723,5.00625
ES-HyperNEAT,141,22560,4.051428,3.951841,5.0125
ES-HyperNEAT,142,22720,4.038,3.964297,5.01875
ES-HyperNEAT,143,22880,4.058105,3.947068,5.01875
ES-HyperNEAT,144,23040,4.014909,3.937553,5.0125
ES-HyperNEAT,145,23200,4.019533,3.940828,5.03125
ES-HyperNEAT,146,23360,4.012322,3.922318,5.05625
ES-HyperNEAT,147,23520,4.165506,3.968882,5.0125
ES-HyperNEAT,148,23680,4.0342,3.974327,5.025
ES-HyperNEAT,149,23840,4.003826,3.930867,5.00625
ES-HyperNEAT,150,24000,4.053006,3.940917,4.95
ES-HyperNEAT,151,24160,4.011583,3.898317,4.9375
ES-HyperNEAT,152,24320,4.03352,3.91651,5.01875
ES-HyperNEAT,153,24480,3.997321,3.969248,5.00625
ES-HyperNEAT,154,24640,4.136098,3.945247,5.00625
ES-HyperNEAT,155,24800,4.075586,4.000562,5.025
ES-HyperNEAT,156,24960,3.997562,3.944766,5.01875
ES-HyperNEAT,157,25120,4.028883,3.943412,5.025
ES-HyperNEAT,158,25280,3.999407,3.927425,5.03125
ES-HyperNEAT,159,25440,4.140156,3.961078,5.09375
ES-HyperNEAT,160,25600,4.112498,3.978898,5.1125
ES-HyperNEAT,161,25760,3.971779,3.880572,5.075
ES-HyperNEAT,162,25920,4.084893,3.970485,5.025
ES-HyperNEAT,163,26080,4.054179,3.97657,5.10625
ES-HyperNEAT,164,26240,3.979419,3.887163,5.2
ES-HyperNEAT,165,26400,4.020419,3.935973,5.3875
ES-HyperNEAT,166,26560,4.136259,4.024493,5.45
ES-HyperNEAT,167,26720,4.006199,3.930923,5.63125
ES-HyperNEAT,168,26880,3.984994,3.879452,5.7125
ES-HyperNEAT,169,27040,4.071072,3.927681,5.9125
ES-HyperNEAT,170,27200,4.037102,3.947393,5.90625
ES-HyperNEAT,171,27360,4.039001,3.948974,5.9125
ES-HyperNEAT,172,27520,4.028234,3.954885,5.65625
ES-HyperNEAT,173,27680,4.028051,3.969454,5.26875
ES-HyperNEAT,174,27840,4.11168,3.923739,5.15625
ES-HyperNEAT,175,28000,4.027572,3.917446,5.38125
ES-HyperNEAT,176,28160,4.008484,3.918034,5.2125
ES-HyperNEAT,177,28320,3.977951,3.893398,5.0125
ES-HyperNEAT,178,28480,4.156723,3.984495,5.00625
ES-HyperNEAT,179,28640,4.056037,3.990061,5.0125
ES-HyperNEAT,180,28800,4.013154,3.909332,5.025
ES-HyperNEAT,181,28960,3.991043,3.930076,5.00625
ES-HyperNEAT,182,29120,4.023535,3.921771,5.00625
ES-HyperNEAT,183,29280,4.026526,3.946689,5
ES-HyperNEAT,184,29440,3.971342,3.856269,5.00625
ES-HyperNEAT,185,29600,4.066211,3.969179,5.025
ES-HyperNEAT,186,29760,3.987039,3.921554,5.00625
ES-HyperNEAT,187,29920,4.043692,3.989549,5.03125
ES-HyperNEAT,188,30080,4.045927,3.927802,5.0125
ES-HyperNEAT,189,30240,4.012747,3.925113,5.04375
ES-HyperNEAT,190,30400,4.095065,3.99281,5.10625
ES-HyperNEAT,191,30560,4.012031,3.930872,5.15
ES-HyperNEAT,192,30720,4.074154,3.965766,5.2625
ES-HyperNEAT,193,30880,4.003361,3.916559,5.00625
ES-HyperNEAT,194,31040,4.122617,3.967927,5.0125
ES-HyperNEAT,195,31200,4.024758,3.878268,5.01875
ES-HyperNEAT,196,31360,3.983687,3.922862,5.025
ES-HyperNEAT,197,31520,4.025257,3.9294,5.0125
ES-HyperNEAT,198,31680,4.028583,3.985203,5.00625
ES-HyperNEAT,199,31840,4.120455,3.950673,5.05
ES-HyperNEAT,200,32000,4.026599,3.951043,5
ES-HyperNEAT,201,32160,3.993527,3.917437,5.0125
ES-HyperNEAT,202,32320,3.965712,3.858262,5.03125
ES-HyperNEAT,203,32480,4.033701,3.959613,5.06875
ES-HyperNEAT,204,32640,4.077849,3.970586,5.0625
ES-HyperNEAT,205,32800,4.008337,3.926689,5.06875
ES-HyperNEAT,206,32960,4.105458,4.008468,5.0125
