ES-HyperNEAT,1,160,3.885475,3.231721,1.000000
ES-HyperNEAT,2,320,3.890791,3.674230,1.012500
ES-HyperNEAT,3,480,3.893284,3.798064,1.031250
ES-HyperNEAT,4,640,3.905531,3.821836,1.025000
ES-HyperNEAT,5,800,3.966792,3.812325,1.018750
ES-HyperNEAT,6,960,3.981853,3.799910,1.125000
ES-HyperNEAT,7,1,120,4.041686,3.739168,1.268750
ES-HyperNEAT,8,1,280,4.103499,3.631558,1.625000
ES-HyperNEAT,9,1,440,4.225327,3.536296,1.918750
ES-HyperNEAT,10,1,600,4.250818,3.536788,2.018750
ES-HyperNEAT,11,1,760,4.532728,3.460270,2.106250
ES-HyperNEAT,12,1,920,4.259676,3.515044,2.075000
ES-HyperNEAT,13,2,080,4.229976,3.507407,2.056250
ES-HyperNEAT,14,2,240,4.588721,3.520751,2.050000
ES-HyperNEAT,15,2,400,4.123167,3.537285,2.062500
ES-HyperNEAT,16,2,560,4.119285,3.517692,2.125000
ES-HyperNEAT,17,2,720,4.230692,3.550253,2.225000
ES-HyperNEAT,18,2,880,4.076466,3.509130,2.275000
ES-HyperNEAT,19,3,040,4.540378,3.633118,2.350000
ES-HyperNEAT,20,3,200,4.276318,3.549759,2.468750
ES-HyperNEAT,21,3,360,4.227410,3.548307,2.662500
ES-HyperNEAT,22,3,520,4.432841,3.567634,2.662500
ES-HyperNEAT,23,3,680,4.546978,3.715609,2.781250
ES-HyperNEAT,24,3,840,4.565516,3.906135,3.100000
ES-HyperNEAT,25,4,000,4.557794,3.864884,3.056250
ES-HyperNEAT,26,4,160,4.541102,3.815985,3.018750
ES-HyperNEAT,27,4,320,4.553916,3.856025,3.000000
ES-HyperNEAT,28,4,480,4.588418,3.922286,3.012500
ES-HyperNEAT,29,4,640,4.527649,3.906806,3.062500
ES-HyperNEAT,30,4,800,4.562770,3.944103,3.112500
ES-HyperNEAT,31,4,960,4.581574,3.881153,3.256250
ES-HyperNEAT,32,5,120,4.560982,3.863175,3.406250
ES-HyperNEAT,33,5,280,4.539780,3.911868,3.368750
ES-HyperNEAT,34,5,440,4.539162,3.757319,3.162500
ES-HyperNEAT,35,5,600,4.563340,3.855368,3.112500
ES-HyperNEAT,36,5,760,4.556155,3.852828,3.012500
ES-HyperNEAT,37,5,920,4.534311,3.813065,3.006250
ES-HyperNEAT,38,6,080,4.577350,3.944927,3.000000
ES-HyperNEAT,39,6,240,4.550791,3.946422,3.018750
ES-HyperNEAT,40,6,400,4.549567,3.824953,3.012500
ES-HyperNEAT,41,6,560,4.531527,3.925837,3.012500
ES-HyperNEAT,42,6,720,4.584888,3.876987,3.018750
ES-HyperNEAT,43,6,880,4.549515,3.963223,3.062500
ES-HyperNEAT,44,7,040,4.552614,3.844169,3.075000
ES-HyperNEAT,45,7,200,4.564649,3.937020,3.212500
ES-HyperNEAT,46,7,360,4.541848,3.968159,3.425000
ES-HyperNEAT,47,7,520,4.541383,3.994574,3.475000
ES-HyperNEAT,48,7,680,4.544907,3.931454,3.681250
ES-HyperNEAT,49,7,840,4.539950,4.017132,3.531250
ES-HyperNEAT,50,8,000,4.544254,3.971157,3.568750
ES-HyperNEAT,51,8,160,4.575808,3.862786,3.775000
ES-HyperNEAT,52,8,320,4.560441,4.013305,3.650000
ES-HyperNEAT,53,8,480,4.576157,3.996851,3.568750
ES-HyperNEAT,54,8,640,4.638252,3.995138,3.468750
ES-HyperNEAT,55,8,800,4.487711,3.734078,3.650000
ES-HyperNEAT,56,8,960,4.602088,3.942057,3.512500
ES-HyperNEAT,57,9,120,4.559991,3.875521,3.612500
ES-HyperNEAT,58,9,280,4.552374,3.867833,3.868750
ES-HyperNEAT,59,9,440,4.541637,3.951597,3.737500
ES-HyperNEAT,60,9,600,4.619152,3.878695,3.437500
ES-HyperNEAT,61,9,760,4.538760,3.909227,3.750000
ES-HyperNEAT,62,9,920,4.582440,3.980685,3.650000
ES-HyperNEAT,63,10,080,4.573277,3.970753,3.968750
ES-HyperNEAT,64,10,240,4.530779,3.955049,3.881250
ES-HyperNEAT,65,10,400,4.571329,3.874443,3.962500
ES-HyperNEAT,66,10,560,4.553686,3.938604,3.825000
ES-HyperNEAT,67,10,720,4.601772,3.950061,3.712500
ES-HyperNEAT,68,10,880,4.542840,3.982421,4.018750
ES-HyperNEAT,69,11,040,4.574270,4.034145,4.550000
ES-HyperNEAT,70,11,200,4.567184,3.949723,4.231250
ES-HyperNEAT,71,11,360,4.544339,4.069790,4.793750
ES-HyperNEAT,72,11,520,4.571235,4.016476,4.606250
ES-HyperNEAT,73,11,680,4.576299,4.118652,4.912500
ES-HyperNEAT,74,11,840,4.571325,4.082150,4.818750
ES-HyperNEAT,75,12,000,4.578292,4.120505,4.875000
ES-HyperNEAT,76,12,160,4.555377,4.038603,5.075000
ES-HyperNEAT,77,12,320,4.562555,4.098415,5.137500
ES-HyperNEAT,78,12,480,4.606662,4.215087,5.012500
ES-HyperNEAT,79,12,640,4.616430,4.005009,5.156250
ES-HyperNEAT,80,12,800,4.583873,4.020737,5.050000
ES-HyperNEAT,81,12,960,4.551591,4.024787,5.012500
ES-HyperNEAT,82,13,120,4.538793,4.056079,5.012500
ES-HyperNEAT,83,13,280,4.596024,4.049130,5.000000
ES-HyperNEAT,84,13,440,4.576422,4.121052,5.018750
ES-HyperNEAT,85,13,600,4.554594,3.985687,5.112500
ES-HyperNEAT,86,13,760,4.544573,4.161796,5.068750
ES-HyperNEAT,87,13,920,4.595154,4.104286,5.006250
ES-HyperNEAT,88,14,080,4.567517,4.162066,5.025000
ES-HyperNEAT,89,14,240,4.595311,3.990714,5.100000
ES-HyperNEAT,90,14,400,4.576379,4.074226,5.106250
ES-HyperNEAT,91,14,560,4.545168,4.140666,5.218750
ES-HyperNEAT,92,14,720,4.558330,3.953485,5.125000
ES-HyperNEAT,93,14,880,4.563417,3.995269,5.018750
ES-HyperNEAT,94,15,040,4.559386,4.044729,5.018750
ES-HyperNEAT,95,15,200,4.539915,4.020691,5.012500
ES-HyperNEAT,96,15,360,4.569746,4.158827,5.075000
ES-HyperNEAT,97,15,520,4.543932,4.052369,5.112500
ES-HyperNEAT,98,15,680,4.572531,4.135355,5.012500
ES-HyperNEAT,99,15,840,4.557634,3.996069,5.062500
ES-HyperNEAT,100,16,000,4.582464,4.113913,5.006250
ES-HyperNEAT,101,16,160,4.578375,4.143653,5.012500
ES-HyperNEAT,102,16,320,4.554791,4.058260,5.012500
ES-HyperNEAT,103,16,480,4.591608,4.124694,5.081250
ES-HyperNEAT,104,16,640,4.549251,4.031666,5.056250
ES-HyperNEAT,105,16,800,4.569386,4.032405,5.106250
ES-HyperNEAT,106,16,960,4.545195,4.107213,5.362500
ES-HyperNEAT,107,17,120,4.573255,3.860295,5.631250
ES-HyperNEAT,108,17,280,4.545058,3.859493,5.475000
ES-HyperNEAT,109,17,440,4.551895,3.987964,5.687500
ES-HyperNEAT,110,17,600,4.559159,3.925748,5.806250
ES-HyperNEAT,111,17,760,4.579596,4.127616,5.812500
ES-HyperNEAT,112,17,920,4.540988,3.917095,5.118750
ES-HyperNEAT,113,18,080,4.578629,4.043087,5.125000
ES-HyperNEAT,114,18,240,4.539712,3.787619,5.537500
ES-HyperNEAT,115,18,400,4.564373,3.963452,5.593750
ES-HyperNEAT,116,18,560,4.581313,4.026287,5.150000
ES-HyperNEAT,117,18,720,4.563823,4.053586,5.106250
ES-HyperNEAT,118,18,880,4.545084,3.976089,5.131250
ES-HyperNEAT,119,19,040,4.589559,4.075753,5.168750
