ES-HyperNEAT,1,160,3.876751,3.222582,1.000000
ES-HyperNEAT,2,320,3.961317,3.631470,1.025000
ES-HyperNEAT,3,480,4.093708,3.934166,1.125000
ES-HyperNEAT,4,640,3.977470,3.892923,1.162500
ES-HyperNEAT,5,800,3.981517,3.860737,1.175000
ES-HyperNEAT,6,960,3.988224,3.857604,1.056250
ES-HyperNEAT,7,1,120,3.997091,3.806936,1.062500
ES-HyperNEAT,8,1,280,3.978234,3.735033,1.106250
ES-HyperNEAT,9,1,440,3.990273,3.772106,1.218750
ES-HyperNEAT,10,1,600,4.001308,3.815908,1.306250
ES-HyperNEAT,11,1,760,3.954661,3.766274,1.262500
ES-HyperNEAT,12,1,920,3.999999,3.838929,1.356250
ES-HyperNEAT,13,2,080,3.972341,3.797900,1.375000
ES-HyperNEAT,14,2,240,4.009156,3.820721,1.162500
ES-HyperNEAT,15,2,400,4.000903,3.832026,1.125000
ES-HyperNEAT,16,2,560,4.009954,3.827906,1.112500
ES-HyperNEAT,17,2,720,4.039393,3.835326,1.031250
ES-HyperNEAT,18,2,880,3.982198,3.810664,1.012500
ES-HyperNEAT,19,3,040,3.974718,3.740047,1.062500
ES-HyperNEAT,20,3,200,3.985096,3.784097,1.125000
ES-HyperNEAT,21,3,360,3.999225,3.801953,1.212500
ES-HyperNEAT,22,3,520,4.014481,3.853424,1.062500
