ES-HyperNEAT,1,160,3.990873,1.307187,1.000000
ES-HyperNEAT,2,320,3.807637,3.426749,1.012500
ES-HyperNEAT,3,480,3.528076,3.238702,1.000000
ES-HyperNEAT,4,640,3.379883,3.253137,1.000000
ES-HyperNEAT,5,800,3.990386,3.246906,1.006250
ES-HyperNEAT,6,960,3.807106,3.193004,1.018750
ES-HyperNEAT,7,1,120,4.252985,3.369540,1.056250
ES-HyperNEAT,8,1,280,4.419168,3.286058,1.018750
ES-HyperNEAT,9,1,440,4.318662,3.084840,1.075000
ES-HyperNEAT,10,1,600,4.325830,3.033644,1.237500
ES-HyperNEAT,11,1,760,4.253552,2.952694,1.462500
ES-HyperNEAT,12,1,920,5.629072,2.856580,1.662500
ES-HyperNEAT,13,2,080,5.695860,2.954322,1.812500
ES-HyperNEAT,14,2,240,5.703796,3.609657,2.268750
ES-HyperNEAT,15,2,400,5.772955,4.299560,2.743750
ES-HyperNEAT,16,2,560,6.682175,4.596717,3.018750
ES-HyperNEAT,17,2,720,6.627620,4.676041,3.006250
ES-HyperNEAT,18,2,880,6.263596,4.673711,3.025000
ES-HyperNEAT,19,3,040,6.389937,4.723632,3.062500
ES-HyperNEAT,20,3,200,9.468382,4.787317,3.012500
ES-HyperNEAT,21,3,360,6.759762,4.670240,3.006250
ES-HyperNEAT,22,3,520,7.070433,4.781393,3.050000
ES-HyperNEAT,23,3,680,7.276285,4.993573,3.025000
ES-HyperNEAT,24,3,840,7.705202,4.842096,3.012500
ES-HyperNEAT,25,4,000,7.658919,4.898807,3.050000
ES-HyperNEAT,26,4,160,7.280543,4.869315,3.000000
ES-HyperNEAT,27,4,320,7.327749,4.770149,3.018750
ES-HyperNEAT,28,4,480,7.361581,4.699757,3.006250
ES-HyperNEAT,29,4,640,7.457519,4.855770,3.050000
ES-HyperNEAT,30,4,800,7.719627,5.019961,3.050000
ES-HyperNEAT,31,4,960,7.358180,4.976220,3.150000
ES-HyperNEAT,32,5,120,7.414559,4.819393,3.112500
ES-HyperNEAT,33,5,280,6.450329,4.347565,3.050000
ES-HyperNEAT,34,5,440,6.966362,4.543776,3.012500
ES-HyperNEAT,35,5,600,7.205533,5.003003,3.012500
ES-HyperNEAT,36,5,760,7.112911,4.812929,3.062500
ES-HyperNEAT,37,5,920,7.077490,4.992274,3.050000
ES-HyperNEAT,38,6,080,6.979946,5.028908,3.175000
ES-HyperNEAT,39,6,240,7.228441,5.075356,3.081250
ES-HyperNEAT,40,6,400,7.054951,4.900467,3.012500
ES-HyperNEAT,41,6,560,7.205769,4.794828,3.012500
ES-HyperNEAT,42,6,720,7.631186,5.013398,3.012500
ES-HyperNEAT,43,6,880,7.551894,5.045885,2.993750
ES-HyperNEAT,44,7,040,7.503036,5.054009,3.000000
ES-HyperNEAT,45,7,200,10.799015,4.461488,3.012500
ES-HyperNEAT,46,7,360,7.302318,4.691670,3.006250
ES-HyperNEAT,47,7,520,7.608648,4.770891,3.012500
ES-HyperNEAT,48,7,680,7.592547,4.615553,3.056250
ES-HyperNEAT,49,7,840,7.538963,4.790715,3.143750
ES-HyperNEAT,50,8,000,7.212675,5.099209,3.418750
ES-HyperNEAT,51,8,160,7.339910,4.863022,3.381250
ES-HyperNEAT,52,8,320,7.665340,4.988841,3.556250
ES-HyperNEAT,53,8,480,8.001806,5.201091,3.937500
ES-HyperNEAT,54,8,640,8.653991,5.527006,3.831250
ES-HyperNEAT,55,8,800,7.802577,5.066699,3.906250
ES-HyperNEAT,56,8,960,7.245384,5.276401,4.012500
ES-HyperNEAT,57,9,120,7.405692,5.297313,4.062500
ES-HyperNEAT,58,9,280,7.550882,5.375674,4.018750
ES-HyperNEAT,59,9,440,7.322964,5.159568,4.012500
ES-HyperNEAT,60,9,600,6.918886,4.622936,4.031250
ES-HyperNEAT,61,9,760,7.134370,5.106992,4.018750
ES-HyperNEAT,62,9,920,7.884409,5.204214,3.993750
ES-HyperNEAT,63,10,080,8.407799,4.976708,3.956250
ES-HyperNEAT,64,10,240,7.761129,5.238049,4.018750
ES-HyperNEAT,65,10,400,7.149518,4.958010,4.006250
ES-HyperNEAT,66,10,560,8.001076,5.083975,4.018750
ES-HyperNEAT,67,10,720,7.212098,5.110807,4.006250
ES-HyperNEAT,68,10,880,7.196744,5.145527,4.018750
ES-HyperNEAT,69,11,040,8.088432,5.437474,4.006250
ES-HyperNEAT,70,11,200,8.165743,5.211501,4.012500
ES-HyperNEAT,71,11,360,7.273031,5.173718,4.031250
ES-HyperNEAT,72,11,520,6.863451,4.961478,4.012500
ES-HyperNEAT,73,11,680,7.446690,5.157546,4.018750
ES-HyperNEAT,74,11,840,7.678684,5.042037,4.012500
ES-HyperNEAT,75,12,000,7.603827,5.060308,3.993750
ES-HyperNEAT,76,12,160,7.839929,5.165508,3.968750
ES-HyperNEAT,77,12,320,7.561782,5.305395,4.062500
ES-HyperNEAT,78,12,480,8.150432,5.384145,4.006250
ES-HyperNEAT,79,12,640,7.092435,5.471797,3.956250
ES-HyperNEAT,80,12,800,7.010362,5.162646,4.050000
ES-HyperNEAT,81,12,960,7.392149,5.010553,4.018750
ES-HyperNEAT,82,13,120,7.106633,4.981325,4.012500
ES-HyperNEAT,83,13,280,7.127332,4.987073,4.018750
ES-HyperNEAT,84,13,440,7.618340,5.100736,4.012500
ES-HyperNEAT,85,13,600,7.045995,5.075188,4.025000
ES-HyperNEAT,86,13,760,7.172377,5.033680,4.025000
ES-HyperNEAT,87,13,920,7.476977,5.133207,4.062500
ES-HyperNEAT,88,14,080,7.865953,5.135729,4.006250
ES-HyperNEAT,89,14,240,7.065830,5.359392,4.006250
ES-HyperNEAT,90,14,400,7.399201,5.274208,4.006250
ES-HyperNEAT,91,14,560,7.870055,5.745324,4.012500
ES-HyperNEAT,92,14,720,7.660431,5.030824,4.018750
ES-HyperNEAT,93,14,880,7.229529,5.173892,4.081250
ES-HyperNEAT,94,15,040,7.950818,4.883079,4.062500
ES-HyperNEAT,95,15,200,7.226220,4.893922,4.018750
ES-HyperNEAT,96,15,360,7.489373,5.113951,4.012500
ES-HyperNEAT,97,15,520,8.050278,5.464507,4.018750
ES-HyperNEAT,98,15,680,8.002100,5.133436,4.006250
ES-HyperNEAT,99,15,840,8.251465,5.260807,4.000000
ES-HyperNEAT,100,16,000,8.228374,5.318051,4.075000
ES-HyperNEAT,101,16,160,7.992924,5.056154,4.050000
ES-HyperNEAT,102,16,320,7.605224,5.347962,4.006250
ES-HyperNEAT,103,16,480,7.223351,4.966375,4.012500
ES-HyperNEAT,104,16,640,7.815610,4.867670,4.025000
ES-HyperNEAT,105,16,800,8.117826,5.089172,3.875000
ES-HyperNEAT,106,16,960,9.350489,5.175844,3.956250
ES-HyperNEAT,107,17,120,8.037410,5.194721,4.012500
ES-HyperNEAT,108,17,280,7.190451,4.946205,4.006250
ES-HyperNEAT,109,17,440,7.480583,5.076133,4.000000
ES-HyperNEAT,110,17,600,7.327568,4.993973,4.025000
ES-HyperNEAT,111,17,760,8.675954,4.887543,4.037500
ES-HyperNEAT,112,17,920,8.104346,4.790574,4.037500
ES-HyperNEAT,113,18,080,8.329677,5.165070,4.025000
ES-HyperNEAT,114,18,240,8.324360,4.911240,4.075000
ES-HyperNEAT,115,18,400,7.306965,5.051654,4.075000
ES-HyperNEAT,116,18,560,7.452512,5.373520,4.025000
ES-HyperNEAT,117,18,720,9.368242,5.525527,4.100000
ES-HyperNEAT,118,18,880,7.501584,5.290619,4.068750
ES-HyperNEAT,119,19,040,6.990706,4.892960,4.131250
ES-HyperNEAT,120,19,200,90.732838,7.175214,4.256250
ES-HyperNEAT,121,19,360,6.889066,4.758089,4.050000
ES-HyperNEAT,122,19,520,7.044297,5.252753,4.075000
ES-HyperNEAT,123,19,680,7.425061,5.198044,4.050000
ES-HyperNEAT,124,19,840,6.795728,5.239671,4.175000
ES-HyperNEAT,125,20,000,7.476598,5.065371,4.368750
ES-HyperNEAT,126,20,160,7.537882,5.142430,4.325000
ES-HyperNEAT,127,20,320,7.536960,5.544614,4.412500
ES-HyperNEAT,128,20,480,7.421984,5.391280,4.462500
ES-HyperNEAT,129,20,640,7.969736,5.322006,4.412500
ES-HyperNEAT,130,20,800,8.051849,5.297890,4.368750
ES-HyperNEAT,131,20,960,7.990534,5.533464,4.462500
ES-HyperNEAT,132,21,120,7.221080,5.403262,4.562500
ES-HyperNEAT,133,21,280,6.950091,5.185001,4.687500
ES-HyperNEAT,134,21,440,7.961762,4.928881,4.668750
ES-HyperNEAT,135,21,600,7.195959,4.877050,4.893750
ES-HyperNEAT,136,21,760,7.376053,5.479443,4.893750
ES-HyperNEAT,137,21,920,7.388734,5.404181,4.918750
ES-HyperNEAT,138,22,080,7.585404,5.332527,5.268750
ES-HyperNEAT,139,22,240,7.870939,5.465182,5.325000
ES-HyperNEAT,140,22,400,8.717535,5.629915,5.437500
ES-HyperNEAT,141,22,560,7.779390,5.850131,5.187500
ES-HyperNEAT,142,22,720,7.047228,5.633378,5.087500
ES-HyperNEAT,143,22,880,7.417364,5.566641,5.106250
ES-HyperNEAT,144,23,040,8.041678,5.527735,5.281250
ES-HyperNEAT,145,23,200,7.231876,5.275946,5.437500
ES-HyperNEAT,146,23,360,8.061979,5.647491,5.625000
ES-HyperNEAT,147,23,520,7.359897,5.640457,5.650000
ES-HyperNEAT,148,23,680,7.585633,6.226600,5.550000
ES-HyperNEAT,149,23,840,7.743635,5.458279,5.606250
ES-HyperNEAT,150,24,000,8.140190,5.774425,5.650000
ES-HyperNEAT,151,24,160,8.034737,5.859080,5.887500
ES-HyperNEAT,152,24,320,7.732577,5.880810,5.956250
ES-HyperNEAT,153,24,480,7.810325,5.790637,5.962500
ES-HyperNEAT,154,24,640,7.825519,6.010295,6.006250
ES-HyperNEAT,155,24,800,7.649739,6.010752,6.018750
ES-HyperNEAT,156,24,960,8.273739,6.168165,6.056250
ES-HyperNEAT,157,25,120,8.095729,6.279868,6.018750
